@id	@type	@lat	@lon	name	highway	lanes	maxspeed	oneway
5670709	way	40.7135918	-73.9850808	Montgomery Street	secondary	2	25 mph	no
5670711	way	40.7141295	-73.9852759	Montgomery Street	residential	1	25 mph	yes
5670719	way	40.7513886	-74.0031845	West 28th Street	residential	1	25 mph	yes
5670728	way	40.7210508	-74.0058527	Saint John's Lane	residential	1	20 mph	yes
5670733	way	40.7666387	-73.9512091	East 73rd Street	tertiary	1	25 mph	yes
5670734	way	40.7778492	-73.9877501	Freedom Place	residential		25 mph	yes
5670735	way	40.8186612	-73.9515388	West 135th Street	tertiary			
5670736	way	40.7375477	-73.9859026	Gramercy Park South	residential	1	25 mph	yes
5670738	way	40.7800792	-73.9750186	West 77th Street	residential	2	25 mph	
5670742	way	40.8067435	-73.9470795	West 123rd Street	residential			yes
5670744	way	40.8763342	-73.9108161	Van Corlear Place	residential			yes
5670747	way	40.7887233	-73.9478046	East 101st Street	residential	1		yes
5670748	way	40.7907512	-73.9526401	East 101st Street	residential			yes
5670749	way	40.7869429	-73.9435894	East 101st Street	residential			yes
5670751	way	40.8072375	-73.9363122	East 129th Street	residential		25 mph	yes
5670756	way	40.7303236	-73.9790436	14th Street Loop	residential	1	25 mph	yes
5670759	way	40.8222159	-73.9571154	12th Avenue	residential			yes
5670762	way	40.8602920	-73.9207636	West 201st Street	residential			yes
5670765	way	40.8196155	-73.9341131	145th Street Bridge	secondary	4	25 mph	no
5670768	way	40.8763918	-73.9131268	Teunissen Place	residential			
5670770	way	40.7370586	-73.9847355	East 20th Street	residential	1	25 mph	yes
5670771	way	40.7394226	-73.9903560	East 20th Street	residential	1	25 mph	yes
5670773	way	40.7201511	-73.9977190	Centre Market Place	residential		25 mph	yes
5670774	way	40.8274405	-73.9468760	West 148th Street	residential	1		yes
5670776	way	40.8243851	-73.9396282	West 148th Street	residential			yes
5670778	way	40.7382437	-73.9866308	Gramercy Park West	residential		25 mph	yes
5670782	way	40.7296150	-73.9899992	Astor Place	residential	2	25 mph	yes
5670785	way	40.7385981	-73.9938469	West 17th Street	residential		25 mph	yes
5670787	way	40.7329729	-73.9805054	First Avenue Loop	residential		25 mph	yes
5670792	way	40.7269142	-74.0032758	Charlton Street	residential	1	25 mph	yes
5670793	way	40.8395719	-73.9359827	Jumel Place	residential			yes
5670795	way	40.7753691	-73.9451118	Henderson Place	residential			
5670797	way	40.7756487	-73.9544772	East 82nd Street	residential			yes
5670798	way	40.8713140	-73.9163775	West 217th Street	residential		20 mph	yes
5670800	way	40.8685799	-73.9168423	West 213th Street	residential			yes
5670803	way	40.7506757	-73.9908553	7th Avenue	secondary	5	25 mph	yes
5670811	way	40.7991669	-73.9388584	East 118th Street	residential			yes
5670814	way	40.7273553	-74.0015974	Sullivan Street	residential		25 mph	yes
5670818	way	40.7709734	-73.9594307	East 74th Street	residential		25 mph	yes
5670820	way	40.7195752	-74.0006429	Howard Street	residential		25 mph	yes
5670822	way	40.7993643	-73.9556696	Adam Clayton Powell Jr. Boulevard	service	1	20 mph	yes
5670825	way	40.8177480	-73.9474945	Edgecombe Avenue	tertiary			yes
5670828	way	40.8303671	-73.9402766	Edgecombe Avenue	tertiary			yes
5670831	way	40.8300290	-73.9397053		tertiary_link			yes
5670832	way	40.7122163	-73.9988080	James Street	residential	1	20 mph	yes
5670836	way	40.7438706	-73.9958108	7th Avenue	secondary	3	25 mph	yes
5670842	way	40.8041859	-73.9519270	Adam Clayton Powell Jr. Boulevard	primary	2	25 mph	yes
5670848	way	40.8279539	-73.9350368	Adam Clayton Powell Jr. Boulevard	primary	2		yes
5670851	way	40.8223616	-73.9437621	Bradhurst Avenue	tertiary			yes
5670853	way	40.8665445	-73.9263550	Cumming Street	residential		20 mph	yes
5670859	way	40.8078372	-73.9565799	Morningside Avenue	residential			no
5670867	way	40.7592272	-73.9788120	West 50th Street	secondary	2		yes
5670873	way	40.7647690	-73.9734993	Grand Army Plaza	secondary	3	25 mph	yes
5670874	way	40.7644222	-73.9733444	Grand Army Plaza	secondary	3	25 mph	yes
5670876	way	40.7407525	-73.9897627	East 22nd Street	residential		25 mph	yes
5670877	way	40.7097183	-74.0086943	John Street	residential	1	20 mph	yes
