u,v,key,osmid,highway,maxspeed,name,oneway,reversed,length,lanes,ref,access,bridge,tunnel,width,junction
42421865,42421857,0,5668986,residential,,La Salle Street,False,True,85.26610102539678,,,,,,,
42421865,42443181,0,444907552,residential,,Claremont Avenue,False,False,171.55111084368392,2,,,,,,
42421865,1332860731,0,444907552,residential,,Claremont Avenue,False,True,244.92511865067996,2,,,,,,
42421877,42421889,0,"[5668989, 1032454983]",residential,25,West 9th Street,True,False,310.92199019167185,"['2', '1']",,,,,,
42421877,42437949,0,889114527,secondary,25,5th Avenue,True,False,77.14403507117763,2,,,,,,
42421889,42432191,0,24264114,residential,25,Christopher Street,True,False,42.12075670022354,,,,,,,
42421889,42430241,0,451905565,secondary,25,6th Avenue,True,False,81.50372482347102,3,,,,,,
42421941,42421960,0,480682396,primary,20,Water Street,False,False,27.203516056484418,4,,,,,,
42421941,42453902,0,"[1151035737, 384178817, 496989959]",primary,20,Water Street,False,True,150.4341452037667,4,,,,,,
42421946,42421941,0,"[1331921880, 5668999]",residential,20,Old Slip,True,False,61.304433247136664,1,,,,,,
42421951,42444223,0,46154337,primary,20,South Street,False,True,77.96996298650583,2,,,,,,
42421951,42421965,0,440542775,primary,20,South Street,True,False,23.06211254140115,1,,,,,,
42421951,42421946,0,1328785217,residential,20,Old Slip,True,False,73.3372403545331,1,,,,,,
42421960,42427956,0,46160403,residential,20,Hanover Square,False,False,66.40830855596315,2,,,,,,
42421960,42431898,0,"[1329042388, 195743199]",primary,20,Water Street,False,False,253.81341668065255,"['4', '3']",,,,,,
42421960,42421965,0,"[413217632, 1329049242]",residential,20,Old Slip,True,False,129.8556403771008,1,,,,,,
42421960,42421941,0,480682396,primary,20,Water Street,False,True,27.203516056484418,4,,,,,,
42421965,4145794861,0,"[1332881457, 5671202]",primary,20,South Street,True,False,162.3809285624004,1,,,,,,
42421969,5706568625,0,709355577,secondary,25,Central Park West,True,False,79.92365293207123,2,,,,,,
42421972,1061531777,0,542371971,residential,,West 61st Street,True,False,21.559177211377477,,,,,,,
42421972,42428570,0,835176555,primary,25,Broadway,True,False,93.68743635090745,4,,,,,,
42421974,42421972,0,"[5669002, 1197066228]",residential,,West 61st Street,True,False,156.6420678377957,2,,,,,,
42421974,1241742627,0,938601996,primary,25,Columbus Avenue,True,False,79.99102723435972,3,,yes,,,,
42421982,7050687060,0,5671056,primary,25,Amsterdam Avenue,True,False,78.78386786545938,3,,,,,,
42421982,2974462027,0,"[5669004, 809013919]",residential,25,West 61st Street,False,True,80.34603775364542,2,,,,,,
42421985,42421982,0,46525011,tertiary,,West 61st Street,True,False,275.7305817526065,1,,,,,,
42421985,3533937800,0,46526965,residential,25,West 61st Street,False,True,99.10003565800267,2,,,,,,
42421985,42430981,0,"[420894368, 420894363]",secondary,,West End Avenue,False,"[False, True]",79.61423826235159,5,,,,,,
42421985,2061592973,0,"[420894376, 420894374]",secondary,,West End Avenue,False,True,79.18476772768949,,,,,,,
42421993,42421996,0,5669008,residential,,West 89th Street,True,False,274.1073964034899,,,,,,,
42421993,42431447,0,"[1271523184, 1271523182]",secondary,25,Central Park West,False,False,81.18301898112851,4,,,,,,
42421993,7106818627,0,"[1271523182, 1271523183]",secondary,25,Central Park West,False,True,79.73512695700647,4,,,,,,
42421996,42422000,0,5669008,residential,,West 89th Street,True,False,271.01562602505305,,,,,,,
42421996,42438043,0,"[421853640, 421853622]",primary,25,Columbus Avenue,True,False,79.99951383413487,4,,,,,,
42422000,1061531768,0,5669008,residential,,West 89th Street,True,False,130.45078030413174,,,,,,,
42422000,42437052,0,1025731520,primary,,Amsterdam Avenue,True,False,79.95187441752103,,,,,,,
42422006,42422016,0,5669008,residential,,West 89th Street,True,False,127.52244752832432,,,,,,,
42422006,42428682,0,404253364,primary,25,Broadway,True,False,79.18182198080412,4,,,,,,
42422016,42422018,0,5669008,residential,,West 89th Street,True,False,213.47715624537855,,,,,,,
42422016,42431044,0,"[837696066, 837696067]",tertiary,25,West End Avenue,False,True,79.78014207804749,3,,,,,,
42422016,42431057,0,837696068,tertiary,25,West End Avenue,False,False,78.85737246905526,2,,,,,,
42422018,42438052,0,46111607,secondary,,Riverside Drive,False,False,90.33473022709781,,,,,,,
42422018,42437058,0,46111607,secondary,,Riverside Drive,False,True,90.47565612343946,,,,,,,
42422026,42437401,0,"[226193928, 837515835, 1331316308]",residential,20,South End Avenue,False,True,173.4249028332679,"['2', '3']",,,,,,
42422026,889298452,0,"[1231809467, 157405685]",residential,20,South End Avenue,False,True,30.93603128602215,2,,,,,,
42422026,246858433,0,"[1329370689, 1230733658, 5669013]",residential,20,Liberty Street,False,False,108.21305783558127,3,,,,,,
42422028,42453395,0,195743264,trunk,30,West Street,True,False,305.11170933530644,4,NY 9A,,,,,
42422028,246858433,0,438899450,residential,20,Liberty Street,False,True,25.311787915972623,,,,,,,
42422038,42438155,0,"[460624365, 1052686445]",secondary,20,Church Street,True,False,86.8814954891243,"['2', '3']",,,,,,
42422038,42422042,0,"[1126410242, 460624363]",unclassified,20,Liberty Street,False,"[False, True]",106.89022153851413,2,,,,,,
42422042,42422038,0,"[1126410242, 460624363]",unclassified,20,Liberty Street,False,"[False, True]",106.89022153851413,2,,,,,,
42422042,42422050,0,1127576633,residential,20,Liberty Street,True,False,117.52668986809103,1,,,,,,
42422042,42428374,0,1149014898,secondary,20,Broadway,True,False,46.18473663732369,2,,,,,,
42422050,42454795,0,1135576553,residential,20,Nassau Street,True,False,63.23871846465653,1,,,,,,
42422050,42422053,0,1335028181,residential,20,Liberty Street,True,False,136.3887383896802,1,,,,,,
42422053,6262915548,0,46160330,residential,20,Liberty Street,True,False,88.09451722690845,1,,,,,,
42422053,42448583,0,1127573674,residential,20,William Street,True,False,37.15253259795431,1,,,,,,
42422086,42422110,0,5669025,motorway_link,,,True,False,72.39020173006854,1,,,,,,
42422086,3931524260,0,194933369,residential,25,East 124th Street,True,False,56.539906748214854,1,,,,,,
42422110,42422168,0,194933382,motorway_link,,,True,False,80.47285230286757,1,,,,,,
42422168,371225132,0,"[194933377, 32965210, 122625733, 46240262]",motorway_link,,,True,False,358.05426008399206,"['2', '1']",,,yes,,,
42422258,42430589,0,"[5669945, 989267823]",secondary,25,11th Avenue,True,False,85.04364285816274,"['2', '1']",,,,,,
42422270,278608420,0,"[46177184, 25561915]",motorway_link,25,,True,False,341.4762271531303,1,,,yes,,,
42422270,42451465,0,"[32935107, 32935108]",motorway,40,FDR Drive,True,False,866.9520057917429,"['2', '1']",FDR,,yes,,,
42422283,42433229,0,"[194923778, 1135361330, 1329547278]",primary,20,Pearl Street,False,False,101.19204319509305,4,,,,,,
42422283,278609934,0,524361790,primary,20,Pearl Street,False,False,15.531182321826895,4,,,,,,
42422283,4158673495,0,"[1329395987, 1329395988, 414743582]",secondary,20,Frankfort Street,False,True,158.85936957954533,"['2', '3']",,,,,,
42422283,5378284711,0,1333735828,secondary,20,Dover Street,True,False,105.23531166183136,1,,,,,,
42422399,42458435,0,"[46563178, 46563181, 46546766]",motorway,50,Henry Hudson Parkway,True,False,1005.0822702134026,3,HH;NY 9A,,yes,,,
42422449,371225132,0,"[46240265, 1069958794, 801411759]",motorway_link,,,True,False,260.64449745498916,2,,,yes,,,
42422509,42457925,0,46201644,primary,25,FDR Drive,True,False,109.06921009062376,2,,,,,,
42422592,7912855687,0,46546737,secondary,25,West 79th Street,False,False,18.78104166605461,3,,,,,,
42422592,42428072,0,439801908,secondary,,Riverside Drive,False,False,88.01999473060185,2,,,,,,
42422592,42421778,0,"[46111607, 763299975]",secondary,,Riverside Drive,False,True,87.48022596426914,,,,,,,
42422592,42431019,0,"[1080864180, 68668533]",secondary,25,West 79th Street,False,True,142.72236113934827,4,,,,,,
42422899,42454010,0,"[955205137, 368938762]",primary,25,1st Avenue,True,False,77.79712268057604,"['4', '3']",,,,,,
42422899,42449689,0,"[368938760, 1090370025, 664660185]",secondary,25,East 37th Street,True,False,146.94027934117088,"['4', '3']",,,,,,
42423020,42454495,0,46334595,secondary,25,East 36th Street,True,False,61.99873761285425,2,,,,,,
42423020,42434965,0,"[1020832418, 421852618, 420872183]",primary,25,2nd Avenue,True,False,79.47673942621402,"['6', '5']",,,,,,
42423020,11942111840,0,1287670373,motorway_link,,,True,False,20.603298934633948,4,,,,,,
42423039,42450820,0,958188025,motorway,40,FDR Drive,True,False,101.15671900167465,4,FDR,,,,,
42423051,42454391,0,420629945,primary,25,East Houston Street,True,False,29.703389990132415,2,,,,,,
42423051,370894980,0,"[959041299, 46629371, 1080978589]",motorway_link,40,,True,False,274.35676032439886,"['2', '1']",,,,,,
42423070,7912855687,0,"[144944205, 144944189]",motorway_link,,,True,False,275.9649489119481,"['2', '1']",,,,,,
42423070,42422399,0,"[957873160, 46546766, 46546758]",motorway,50,Henry Hudson Parkway,True,False,544.5582799227994,3,HH;NY 9A,,yes,,,
42423101,42446331,0,5671406,residential,,West 175th Street,True,False,139.50278262705504,,,,,,,
42423101,42436806,0,440122879,secondary,,Amsterdam Avenue,False,False,84.37955172018268,4,,,,,,
42423101,42442723,0,440122879,secondary,,Amsterdam Avenue,False,True,86.00793858643911,4,,,,,,
42423116,595481001,0,"[945384093, 196116966]",secondary,,Amsterdam Avenue,False,False,44.36229826353372,,,,yes,,,
42423116,42442728,0,440122879,secondary,,Amsterdam Avenue,False,True,77.96308031209274,4,,,,,,
42423170,42423203,0,122625738,motorway_link,,,True,False,68.40233029829383,2,,,,,,
42423170,42423189,0,"[68314094, 990643311]",motorway_link,,,True,False,90.9314461381248,3,,,,,,
42423189,42434134,0,46226327,residential,,East 126th Street,True,False,14.631425507657344,,,,,,,
42423189,42426135,0,695644410,motorway_link,30,,True,False,82.45975387441801,1,,,,,,
42423203,42422168,0,5669594,motorway_link,,,True,False,76.46992215248463,1,,,,,,
42423203,371239962,0,46226330,primary,,East 125th Street,False,False,195.00079796072208,,,,,,,
42423203,42443116,0,196116995,primary,,East 125th Street,False,False,16.049559171581116,,,,,,,
42423295,9906966855,0,1080873866,primary,25,FDR Drive,True,False,21.108476842958655,1,,,,,,
42423295,42437786,0,"[1188964152, 194923769, 1188954618, 1080978587]",primary,25,Grand Street,False,True,176.2230456786461,2,,,,,,
42423296,370888100,0,"[958188024, 957524735]",motorway,40,FDR Drive,True,False,277.34392815977816,"['4', '3']",FDR,,,,,
42423307,370892861,0,958162233,motorway,40,FDR Drive,True,False,732.3925116321113,3,FDR,,,,,
42423456,4602414021,0,421832644,primary,25,Varick Street,True,False,3.4209283867246967,4,,,,,,
42423456,42423514,0,"[954310592, 5669205]",motorway_link,25,,True,False,116.28231891089347,"['2', '1']",,,,,,
42423549,42451712,0,32935868,motorway_link,,,True,False,114.75369126122786,1,,,,,,
42423549,42423039,0,"[432550169, 32936738, 32936739]",motorway,40,FDR Drive,True,False,530.5771113795411,3,FDR,,,yes,,
42423564,42423565,0,32947291,trunk,25,Queensboro Bridge Approach,True,False,84.96555344993146,2,,,,,,
42423564,2711029280,0,421851200,primary,25,East 57th Street,False,False,153.06370635551156,5,,,,,,
42423564,42432861,0,"[421851201, 587038175]",primary,25,East 57th Street,False,True,76.82084932298689,6,,,,,,
42423565,42456041,0,"[1106167120, 46211836]",residential,25,East 58th Street,True,False,151.1640202847569,"['2', '3']",,,,,,
42423565,3785586748,0,46419222,trunk,25,Queensboro Bridge Approach,True,False,46.136182582994685,2,,,,,,
42423579,1775201764,0,"[990529014, 32947517, 32947558]",trunk_link,25,,True,False,252.52604765978543,1,,,yes,,,
42423579,1775176474,0,"[539018144, 198595507]",trunk,25,Ed Koch Queensboro Bridge Lower Level,True,False,246.5732066465723,2,NY 25,,yes,,,
42423674,4347550074,0,"[195743152, 420899373]",secondary,,Central Park South,False,True,164.86679216464307,,,,,,,
42423674,42430394,0,"[1205900284, 420899371, 196116988, 420899372]",secondary,,Central Park South,False,True,273.0903364587744,5,,,,,,
42423674,42440025,0,1022822153,secondary,25,7th Avenue,True,False,83.0893799339092,2,,,,,15.5,
42423752,42456049,0,46211828,tertiary,,East 62nd Street,True,False,135.39097182482232,2,,,,,,
42423752,6744466013,0,46419221,trunk,,Queensboro Bridge Exit,True,False,80.13669793233042,3,,,,,,
42423774,42426865,0,"[988994185, 959157335]",motorway,40,FDR Drive,True,False,117.78029750909963,4,FDR,,,,,
42423832,42423847,0,"[223694352, 273895447]",motorway_link,,,True,False,59.34413082077397,1,,,,,,
42423836,593920879,0,46435657,unclassified,25,West 41st Street,True,False,26.681080297188732,1,,,,,,
42423836,42446506,0,5669227,secondary,25,Galvin Avenue,True,False,79.94981868137174,2,,,,,,
42423847,3276524465,0,320888292,motorway,35,Lincoln Tunnel,True,False,991.8852123126272,2,NY 495,,,yes,,
42423885,427804196,0,954520390,residential,,West 39th Street,True,False,96.0672849735369,1,,,,,,
42423885,42446504,0,"[1041012064, 1041012063]",primary,25,10th Avenue,True,False,76.58671916305981,5,,,,,69.6 ft,
42424025,371209940,0,46240379,motorway_link,,,True,False,236.89102922247912,1,,,,,,
42424025,4779073677,0,485139335,secondary,25,East 96th Street,True,False,28.949457009172,2,,,,,,
42424032,595245843,0,"[420624663, 352858405, 1016425694, 195743215]",secondary,25,West 72nd Street,False,False,121.56272264974412,"['2', '3']",,,yes,,,
42424032,42431004,0,"[169381964, 420895733]",secondary,25,West 72nd Street,False,True,115.65606132855854,4,,,,,,
42424032,42432572,0,439801907,secondary,,Riverside Drive,False,True,88.49314024136186,,,,,,,
42424089,371037237,0,32947292,trunk_link,,,True,False,36.203577539689846,2,NY 25,,,,,
42424089,371037281,0,"[534878088, 534878087, 198924551]",residential,25,East 59th Street,True,False,139.12983379411298,1,,,,,,
42424089,42442961,0,"[818182930, 358290454]",primary,25,2nd Avenue,True,False,79.48690915538317,"['6', '5']",,,,,21,
42424117,42448278,0,195743162,tertiary,25,East 116th Street,False,True,131.13677718959212,4,,,,,,
42424117,42424133,0,"[1001479009, 32962789]",motorway_link,,,True,False,116.47167879671424,"['2', '1']",,,,,,
42424133,42427009,0,963982119,motorway,40,FDR Drive,True,False,533.3074069562776,3,FDR,,,,,
